sentence,label
ሁላችንም። እጅ ላይ ደሰታ አለ ሌላን በመፈለግ አንሙት። ትክክል።,positive
ባባ ሀብታምነት የጭንቅ ህይወት,positive
ማርች መጣቹልኝ,neutral
አቦ ስወደችሁ,positive
ወይኔ ባባዬ አንተ ብቻ አይደለክም እኔ እራሱ በጣም ብዙ ተማርኩ ለደስታ ሁሌ የማለቅሰው ልጅ ዛሬ በጣም ደስተኛሆንኩ አመሰግናለው ባባዬ  እወድካለው አስተምረከኛል,positive
ወይኔ ባባዬ,positive
እኔ እራሱ በጣም ብዙ ተማርኩ,positive
ለደስታ ሁሌ የማለቅሰው ልጅ ዛሬ በጣም ደስተኛሆንኩ,positive
ዛሬ በጣም ደስተኛሆንኩ,positive
አመሰግናለው ባባዬ  እወድካለው አስተምረከኛል,positive
አመሰግናለው,positive
ባባዬ  እወድካለው አስተምረከኛል,positive
ባባዬ  እወድካለው,positive
ዋውውውውውውውው በጣም አስተማሪ ና ቁምነገረኛ ነው,positive
ዋሻው አላችሁት እስኪ እንየዋ ክበሩል,neutral
የሀገር  ልጆች  አረ የት  ናቸው  አድስ ፊልም  ተለቆል አብረን  እንይ  ያለ እንተ ምኖም አይምርም  የት  ናችው  ስወዳችሁ እኮ,positive
መገን ወር ሞላብኝ እኮ ይን ፊልም ለመጨረስ,negative
ውጪዎች ቢሰሩት የሚገርም ኤሮቲክ ይወጣዋል,positive
እናንት የፊልም ሰሪዋች ብዙ ፊልም ላይ ምግብ ቀርቦ ወይ ስትበሉ ስርአት የላችሁ ለምሳሌ ይህ ፊልም ምግብ ቀርቦ ሲነጋገሩ  ስላልተግባቡ ሊጎረስ የተጠቀለለውን መወርወር ይህ አሁን ምን ያስተምር እንዲህ በመሆኑ የሚደሰት እለ  ፊልም እያስተማረ እንዲያልፍ ነው ግን ደግሞ ስርአትንም ማስተማር ያስፈልጋል ዛሬ የወረወርሽው ምግብ ነገ ይቸግራል ያ ቀን ሳይመጣ ትንሽም ቢሆን ስርአትን ተለማመጂ ገና ወጣት ነሽ ብዙ ነገር ይጠብቅሻል  ከዚሁ ተማሪ ስርአት ይጠቅማል እንጂ አይጎዳም,negative
አሪፍ ፊልም ነው  Thank you I enjoyed it,positive
አማርኛ ፊልም ርዕሱ ተመሳሳይ ፡የቤት ልጅ የጎረቤት ልጅ፡ የሰፈሬ ልጅ፡ የሴት ልጅ፡ የሴም ልጅ፣ የልጅ ልጅ ፣ የአክስት ልጅ ፡  ሰውየው ፡ሴትየዋ ፣ሹገር ማሚ ፣ሹገር ዳዲ እያለ ይቀጥላል,negative
ቅድስ ገብኤል የልባችን መሻት ይፈጽምልን ከዚህ በሽታ ይስውርን አሪፍ ፌልም ነው እዩት,positive
በጣም ነው ያስለቀጰኝ Like ስጡኝ,positive
እዮባ ያለበት ፊልም ሁሌም ይመቸኛል,positive
ብዙ የአማርኛ ፊልሞችን አይቻለሁ:: አብዛኞቹንም ተመሳሳይ ታሪክ፣ ተመሳሳይ የታሪክ ፍሰት ያላቸው ሆነው አግኝቻቸዋለሁ:: ይህ ግን ይለያል! በአማርኛ ፊልም ላይ ተስፋ እንዳልቆርጥ አድርጎኛል። 🤗ውድጄዋለሁ!!!,positive
ሃገሬ ልገባ 6 ቀን ቀርኝ ሰላም ግቢ በሉኝ የሃገሬ ልጆች,neutral
እዮብዬ ድምፁ ተቀየረ አደገ የፈጣሪ ያለህ,positive
እንኳን ለእናታችን ለቅድስት ድንግል ማሪያም ወርሀዊ በአል በሠላም አደረሣችሁ እንደኔ ዘግይታችሁ እያያችሁ ያላችሁ ዛሬ ደስ ብሎኛል ።የ እዮብ አድናቂዎች የት ናችሁ ኑ እንየው,positive
የ ፖሊስ ፍቅር ጣጣ ነው ከከከ,positive
ደራሲው ግን ጋዴም ነህ ,negative
እንዴት ቤተክርስቲያንን  ለውሸት መረጣችሁ የምሰሩትን አታቁም,negative
አሪፍ ፊልም ነው   ግን አልፎ አልፎ ድምፁ ይጠፋል አይሰማም,positive
ወይኔ ድምፁ የሞተ ፊልም ነው በጣም አሪፍ ይሆናል ብየ ጠብቄ ነበር።,negative
እኔ ምለው እኛ ሴቶች ምድነው ይሄን ያህል ገዘብን ማፍቀር ያአላህ,positive
ጥሎብኝ ትራፊክ ሆኖ እሚሰራዉ ልጅ ስወደዉ እሱ ያለበትን ፊልም በጉጉት ነዉ የማየዉ በሳቅ ጦሽ የሚያረገኝ ልጅ,positive
አዲስ አባሂጄ ጠጄን ስቀመቅም ሚስቴ ወልዳመጣች አባቱን አላውቅም,neutral
ድምጹን ለምን ታጠፉታላቹ? ወይም ባትለቁልን ይሻላል::,negative
ድምፅ የለው ምን የለው ይህን ድራማ ብላቹ ታቀርባላቹ ማፈሪያ ሁላ,negative
እርፍ ነው ግን ድምጽመጨርሻላይ አይሰራም,positive
ምንዲነው፡ምንም፡ድምፁ፡የለውም፡ከስልኬ፡መስሎኝ፡ነበር፡ለካ፡ችገሩ፡ከናንተው፡ነው,negative
ወይኔ የወንድ ቀጭንስ ሲያስጠላ,negative
እናት ማለት እኮ ሀገር ናት  ሁሉ ነገር,neutral 
ለናቶቻችን እድሜና ጤና ይስጥልን  የምትሉ እስኪ በላይክ ግለፁ,neutral
እማ እናቴ ሁፍ ናፍቅሽኝ እናቴን የማይበት ቀን እረዘመብኝ,neutral
ማንዴላዬ የኔ ምርጥ አርቲስት ነህ ነኝ,positive
አሪፍ ፊልም ነዉ ::እናቴ ኑሪልኝ ለዘለአለም እናት ለልጇ የማትሆነዉ የላትም::,positive
በእባ ጨርስኩት እር መች ነው እናቴን እማያት,positive
በጣም ምርጥ ፊልም ነው እናት አለሜ ለልጆችሽ ስትይ ስንቱን ታይዋለሽ እረጅም እድሜ ከጤና ለናቶቻችን,positive
ዋውውው በጣም አሪፍ ፊልም ነው በርቱ ሰላማቹ ይብዛ,positive
ስድት ባልመጣ ይህን አላይም ነበር,positive
ምርጥ ፊልም ደሥ ይላል ውፍ በለቅሶ ሞትኩ  እምዬ እ,positive
ውይ  ስታስጠሉ  ድምፅ  ምድ  ነው,negative
አሌክሶና ቴድን የምታደቁ በኔ ሞት ላክግጩኝደስይበለኝ አይከፈልበት,positive
እንደት አደራችሁ ጋይስ,neutral
ይድ ወደዛ  ስታቴ,negative
በጣም ነው የተመቸህኝ አሌክስ,positive
ያምራል አይ ተማኝ መንጃ ፍቃድ ትላለክ ረዳቱን,positive
በለቅሶ  በእንባ ታጠብኩ   ወይኔ ለካ  ከመወለድ  እንደማሳደግ የሚበልጥ የለም  በጣም  ያሳዝና  አስተማሪ,positive
ኡፍፍፍ በጣም ያሳዝናል መወለድ ቋንቋ ነው በጣም ትምህርት ሰጪ ነው  ሙሴ አበረ ደስ የሚል ስያሜ ነው እኛ አባቶቹ እናቱ ደግሞ ድንግል ማርያም ናት አቦ ይመችህ ስወዳችሁ,positive
ዋውውውውውው በውነት ሰል እንደት እንዳስለቀስከኝ ውይይይ እግዚአብሔር ያጠብቃችሁ,positive
በጣም ይምራል የሠዉልጁ የሠዉ ነዉ የሠዉልጅ ከማሣድግ የዉሻ ብችላ ማሠደግ ይሻላል እሜባለዉ እዉነት ነዉ,positive
ሶስት የሚወደዱ  አክተሮች,positive
በጣም ነው ያስለቀሰኝ በጣም አሪፍ ፊልም ነው,positive
ወይኔ አስለቀሰኝ ተላምዶ መለየት እንዴት ይመራል,positive
ውይ በማሪያም እራሴን አመመኝ! !! በጣም ደስ ይላል,positive
ገና ወጣት ነሽ ብዙ ነገር ይጠብቅሻል ,positive
እኛ በልደቻችን ቀን እንኩዋን አልተከበረልንም ውይ አብታም,positive
እውነት ለመናገር እምባዬ ተናነቀኝ አባቴን አስታወሰኝ *አላህ ይርሀም *አባት ማላት ሁሉ ነገር ነው መከታ ነውጥላ ነው  አላህ ጀነትን ይወፍቅህ,positive
በጣም ልብ የሚነካ ፊልም ነው ብዙ ነገሮችን ያስተምራል ከምንም በላይ ንሰሀ ገብቶ መሞትን የመሰለ ነገር የለምና እግዚአብሄር ሁላችንንም ለንሰሀ ሞት ያብቃን አሜን,positive
በጣም ምርጥ ፊልም የሰለሞን ቦጋለ አድናቂ ነኝ,positive
አሪፍ።ነው።ማህደርአሰፍ።ሁሌም።አድናቂሽነኝ,positive
በስደት ያላቹ እመቤቴ ትጠብቃቹ አሜን,neutral
በጣም ነው ያስለቀሰኝ በጣም አሪፍ ፊልም ነው,positive
ሶስት የሚወደዱ  አክተሮች,positive
በጣም ነው ያስለቀሰኝ በጣም አሪፍ ፊልም ነው,positive
ውይ በማሪያም እራሴን አመመኝ! !! በጣም ደስ ይላል,positive
ገና ወጣት ነሽ ብዙ ነገር ይጠብቅሻል ,positive
﻿አራ መጨረሸው ምንድነው,neutral
በጣም የስጣለል እሽ,negative
ጥሩ ነዉ,positive
በጣም ሚመች ፊልም ነው,positive
ካካካካካ በጣም ያምራል,positive
ውይ ቆንጆ ሴት ለካ እስስት ናቸው,negative
ልጅትዋ ደምጿ ይደብራል,negative
የተወሣሠበ ነዉ ልበል,neutral
አሪፍነበር ግን ለምን አጠረ,positive
ምንም አልገባኝም,neutral
ሁላችሁም ደሥትላላቺሁ ይመቻችሁ,positive
መጀመሪያውን አይተህ ሳይሆን መጨረሻውን አይተህ ተረዳው ይሉሀል ይህ ነው,positive
በጣም ያምራል አባት ማለት እንዲህ ነው,positive
በጣም ደስ የሚል ነው አድናቂያችሁ ነኝ ማሮች,positive
በታም ኣመሰግናለው ድርሰት ማለት ይሄ ነው ኣይተሀው ማትጠግበው ደጋግመክ ኣሪፍ ተዋኒያኖች ዉብ የሆኑ ቀጥሉበት ኣልረሳችዉም በታም ስቂያለው 10q በርቱ በርቱ,positive
ዋአው አባት እንደዚህ ነው ጤና እና እድሜ ላባቾቻችን በጣም ደስ ይላል,positive
ዋው ደሥ ይላል   ፍቅር ያለበት ቤተሠብ ያጠግባል,positive
ሲያስጠላ እንዲህ ያለ ትቢት,negative
ዋውውውውውው እደት ያምራል እናመሰግናለን ሁላችሁንም ውውውውድድድድ,positive
ሲደበድበው የኖረውን ልጅ ይቅርታ ማለት ነበረበት,neutral
ውይ ካሜራ አማኑ በሳቅ ጨረሰኝ,positive
ሃሃሃ ወይ ካሜራማን አረ በሳቅ ሙዜዎቹን አለ  ሁፍፍፍ,positive
ኪኪኪኪ በጣም ነው የተመቸኝ በተለይ ይሄ ራስታ ስወደው እኮ የኔ ፍልቅልቅ።,positive
በጣም ደስ ይላል ተመችቶኘል በሪቱ,positive
ዋውውውውው ውድድድድድድ,positive
አጨራረሱ አንጀት ይበላል,positive
በጣም ደስ እሚል የትምህርት ቤት ትዚታ ,positive
ዋው በጣምምም ነው የተመቸኝ ቀጥሉበት,positive
ዋውበታም ያሳዝናል,negative
ኧረ ጉድ ይሄን ሰሞን ፊልም አበሽበሻችሁን ዋዉ እናመሰግናለን,positive
እኔ ግን የኢትዮጵያ ደራሲዎች ግርም ትሉኛላችሁ በሁሉ ፊልም ላይ እናትን መግደል ተገቢ አይደለም,negative
አረ ተው ፊልም ስትሰሩ እንኳን እናት ትኑር በእምባ ገደላችሁን እኮ,positive
በናታቺሁ የእናትን ስቃይን አታሳዩኝ,neutral
ስትሄድ ስከተላት የኛ የስደት ህይወት ከርዕሱ ይመሳሰላል ጊዜው ይሄዳል እኛም ስንከተለው ስንከተለው  በቃ....,neutral
የራሴ ሂወት እራሱ ፊልም ሁኖብኛል,neutral
ያምራል ቀጥሉበት,positive
ዋው በጣም ደስ ይላል ተመችቶኛል ይመቻቹ አቦ,positive
ወይይይይይ በተለይ መጨርሻው።,neutral
መልካም ነው,positive
ምርጥ ፊልም ግን እስከዛሬ ሳላየው የት ተደብቆ ነው,positive
መጨረሻው ደስ ሲል,positive
በሳቅ ልሞት ነው,positive
ዋው እንደት እንደሚያምር ሁላቹንም እወዳቸዋለሁ ,positive
የሰው ወርቅ አያደምቅ በትክክል 100% ምርጥ ፊልም ነው በተለይ ለእውነተኛ ፍቅር ሲባል እማይገባበት ቀዳዳየለም!!!,positive
ትዳሬም ሠርጌም ትዝ አስባላችሁኝ ኤጭ ወይኔ,neutral
ዋው ዋው ያምራል እናመሠግናለን,positive
ውይ,neutral
ምርጥ,positive
ዋውውውው ደስ ይላል የኔስ መቼ ይሆን ሰርጌ እትትትት,positive
ዋው በጣም ደስ ይላል ተመችቶኛል ይመቻቹ አቦ,positive
ይሄን ፊልም አይቼ ጋደኛዬን የደበኩትን ነገር ነገርኩት መልስ አላገኘውም,neutral
ወድጄዋለዉ,positive
ወይኔ ፍቅር በፊልም ብቻ ሆነ ምን እናድርግ,negative
በጣም ይደብራል,negative
ምርጥ,positive
ዋዉ በጣም ደስ ይሚል አጨራርስ,positive
ዋው ቀለል ያለ ፊልም መጨናነቅ የሌለበት ደስ የሚል,positive
ወይኔ እንዴት ደስ ይላል መጨረሻው,positive
በጣም ደስ ይላል ትግስት ጥሩ ነው,positive
ለሁላችንም  መልካም  ልብ  ይስጠን   አሪፍ  ነው   ደስ ይላል,positive
ዋው መጨረሻው ደስ ሲል,positive
ዋዉበጣም ደስ ይላል ቀጥሉበት ፍቅር እንዴዚነው,positive
ኣሪፍ ነው ያገሬ ልጆች  ቀጥልበት,positive
ገና ሳላየው ያስጠላል ይላሉ,neutral
ሲያሥጠላ ቲሽ,negative
በጣምነው  የሚያስጠላው  አሁን  ምን  የሚሉት  ፊልም  ነው  የሰራችሁት  ስታስጠሉ,negative
አሁን ፊልም ሰራቹ ነው ሚባለው,negative
ኤጭ ስታስጠላ,negative
ወይኔ ይሄም ፊልም ነው የሚባለው ወይ ጉድ ስራ ማጣት,negative
እናመሰግናለን በርቱ አሪፍ ነው,positive
ይሄ ፊልም እቃ እቃ ጨዋታ ነው ሚመስለው,negative
ባማረኛ ፊልም አሁን አሁን ከሆነ ምን የአህል የበዛን እና ክብር የአታን እንደሆነ እየተሰማኝ ተስፋ እቆርጣለሁ አማረኛ ፊልምው ሁሉ በቃ ሴትን ልጅ ማረከስ የጭ,negative
አቦ የመቻችሁ የእውነት ደስ ብሎኛል,positive
መጨረሻው የምር ውሸት ነው,negative
ያምራል የልጅነት ፍቅር መቼም አይረሳምም!!!!,positive
አይ ፍቅር በፊልም ብቻ ሁነህ ትቀር,neutral
ኤጭ ምንም አይጥም,negative
ዋው በጣም ድስ ይላል,positive
ዋው በጣም እሚያምር ነው እውነትም ለፍቅሬ ስል,positive
በጣም አሪፍ ነው,positive
ዋው,positive
ደስ ይላል,positive
በጣም ቆንጆ ፊልም ነው,positive
ወይኔ ደስ ሲል,negative
ወይኔ ፍቅር በፊልም ሆኖ ቀረ,neutral
በጠም በጣም ያምራል ያላየችው እዩት,positive
ዋው ለመጀመርያ ጊዜ አድስፊልም በሰአቱ ሳይ,positive
በጣም አሪፍ ፊልም ነው ምርጥ አክተር ነው ልጁም በብቃት ተወቶታል,positive
ፊልም ብሎ ዝም ነው,positive
እንዲህ አይነት ፊልም አይቼ አላውቅም ብላችሁ ታምኑኛላችሁ የማያስቅ የማስለቅስ ኮስተር ያለ ፊልም wow አቦ ይመቻችሁ,positive
አቤት አቤት ያበደው ዘመንንንንን,negative
ህይወት ሲያነቦት እንጂ ሲኖሩባትትርጉም የላትም ዋው እናመሰግናለን !!!,positive
ግን ሴቶች ለምንድን ነው ፈጣሪያችሁን ማትፈሩ እባካትሁ እፍረ ይኑባችሁ,negative
አሪፍ ነው,positive
እያለቀስኩ ጨረስኩት ፍቅር ያሸንፍል እፍፍፍ ምናለግን ፊልምላይብቻ ባይሆን,positive
ይገርማል 4 ሰው ብቻ ክክክክ,negative
አረ ሰዋች የት እያመራን ነው ዛሬ ባደባባይ ሰትሳሳሙ ፊልም ለቀቃችሁ ነገ ደሞ እንደ ኮሪያ ፊልም ያለማፈር ሰሩ,negative
ዋው በጣም ደስየሚል እስከዛሬ ካየዋቸው አማርኛ ፊልም እደዚፊልም ያስተማረኝ ያዝናናኝ የለም በርቱ ቀጥሉበት,positive
አሪፍ ነው ቀጥሉበት,positive
መቼ ይሆን የኢትዮጵያ ፊልሞች ምርጥ የሚሆኑት?,negative
አሪፍ ፊልም ነው በርቱልን,positive
ዋውውው በጣም ደስ የሚል ፊልም ነው ግን እስከዛሬ የት ነበርኩ ሳላየው!!!,positive
ኧረ ሲሪህን ከፍ አርገው ዮናስ ተብዬው,neutral
ዋው።በጣም ደስላል ተመልክቱት,positive
ፊልሙ በጣም ያስለቅሳልም ያስቃልም. ዋውው ቆይ ግን አይቼ እነግራቹሀለው,neutral
ደስ ይላል ግን በቀል ጥሩ አይደለም አባትዩ ተሳስቶዋል,positive
ዋው በጣም ያምራል ግን በ4 ተዋንያን ብቻ ኣለቀ,positive
ክክክክክ እኔ አውንስ የምር ፍቅር ፍቅር የሚባለው ነገር አስጠላኝ በፊል እንጂ በትገባር ምንም የእለም የዘንድሮ ወንድ ከኦነ ...ብር ብር አይናቹ ብር ይበል,negative
5ነዉ ያይሁት በጣም ነዉ ደሥ የሚለኝ,positive
ክክክክክክክክክክክ ኧረ ሸባው ግደልከኝ በሳቅ,positive
በጣም አሪፍ ፊልም ነው  በሃይማኖት ሳይለያዩ ሙስሊም እና ክርስቲያን ደስ ሲሉ,positive
እፍፍፍፍፍፍ ይሄን ፊልም ካየሁት ቀን ጀምሬ ውስጤ ሆኖ ቀረ የምር በጣም ደስስስስ የሚል አስተማሪና ትዝታ አዘል ነው .ደስ የሚለው መጨረሻ ላይ መገናኘታችሁ።,positive
በጣም ሚያዛዝን በጣም ሚገርም ፊልም ነው ወድጄዋለው ቀጡሉበት ግን እደ እኔ ያስለቀሰው ካለ ላክ ግጩኝ,positive
የእናት ፊልም ውስጤ ነው ስራየን ስጨርስ አየዋለሁ ለእናቶቻችን እድሜና ጤና ይስጥልን ከስደተኞቹ ፈጣሪ ይጠብቀን ስደት በቃ ይበለን,positive
ይመቻቹ በጣም ኣሪፍ ፊልም,positive
እጅግ በጣም አስተማሪ ነው ወድጀዋለሁ,positive
ዋወወ በጣም የሚያምር ፊልም ነው ባየው የማይሰለቼኝ,positive
ዋውውውመጨረሻው ያምራልግን አስለቅሶኛልኦፍፍ።።,positive
ልዩ ነው በጣም አሪፍ ነው የሚያስተምረው እንደዚህ አይነት ነው የምንፈልገው ለኛ ብዙ ድርሻ አላችሁ አሁን ይሄ ጣእም የለም ከቻላችሁ እባካችሁ እደዚህ አይነት ደራሲወች ፈጣሪ ያብዛልን።,positive
ወይኔ ለ3ተኛ ጊዜ ሳየው ደስ እሚል ፊልም ነው,positive
ዋውውውውውው በጣም ያምራልልልልልል,positive
በጣም ምርጥ ፊልም ነው,positive
በጣም ደስስስስስስስ ሲልልልልል,positive
መጨረሻው  በጣም  ነው  የሚያምረው,positive
ምርጥ ፊልም ባየው ባየው አልሰለቸውም,positive
ዋውውውዎ በጣም ያስተምራል,positive
አሪፍ ነው ያስተምራል,positive
ክላሲካሉ ከተዋናዮቹ ድምፅ በላይ ነው እንዴት ድምፃቸውን እንስማ እሺ,negative
ዋው ደስ ይላል በጣም,positive
እነሱን እንዳምጥ  ሙዚቃውን እንዳምጣት ኡኡኡኡኡኡኡኡኡኡኡ ሲረብሽ,negative
ፊልሙ  ቆንጆ ነበር የሙዚቃው ጬኸት አላሠማ አለን እንጂ,negative
ተመችቶኛል,negative
ፊልሙ ደስ ይላል ምትጨምሩት ድምፅ ግን ያስጠላል,negative
ፊልሙ አሪፍ ነበር ግን ክለስከሉ በጣም ይራብሸል,negative
ወይኔ.ሲያምር.በጣም.በጣም.በጣም.ከምንም.በላይ.ያምራል.አስተማሪ.ፊልምነው.ቀጥሉበት.ይመቻል ዋውውውውውውውውውውውውውውውውውውውውውውውውውው,positive
ምንድነው ክላሲካሉ ከድምጹ በልጦ ረበሸን እኮ እንዴ,negative
ከሰወቹ ድምፅ ክላሲካሉ በጣም ይጮሃል  በዚህም ድራማውን ማዳመጥ ከባድ ነው,negative
ፊልሙ  በጣም  አሪፍ  ነበር    ግን  የድምጽ  ችግር  አለው,negative
አረዲያ እንከን አያጣቹም እናንተን እንስማ ክላሲካሉን,negative
ሙዚቃው ያማል ፊልሙን ለማየት,negative
ዋውውውውውውውውውው ደስ ሲል ዋውውውው ይመቻቹ,positive
ምን አይነት ድራማ ነዉ በኤርፎን አድርጌም ድምፃቸዉ አይሠማኝም,negative
አብዛኛው የኢትዮጵያ ፊልሞች  ድምጽ ጥራት የለውም መሻሻል ያለበት ነገር ነዉ ምንም ታሪኩ ጥሩ ሆኖ ሳለ ለባክ ግራወንድ የሚጠቀሙበት ዘፈን ወይም ክላሲካል ድምጽ  ከፍተኛ ስለሆነ ታሪኩ አይሰማም ይሻሻል እላለሁ።,negative
አሪፍ ነበር ግን ድምፅ አይስማም,negative
በክላሲካው ብቻ ሳላየው ቀረው ስታስጠሉሉሉ,negative
ኣቦ ድምፁን ኣስተካክሉት,negative
ፊልሙ ቆንጆ ነበር  ስለ ክላሲካሉ ግን ይድፋችሁ ደነዞች,negative
ምነው እንዲህ ትረብሹናላችሁ በሙዚቃ! እነሱ ከሙዚቃው በላይ ናቸው እኮ .ምን ሆናችሁ ነው እንዲህ ያረጋችሁት,negative
ጥሩ ሆኖ ሳለ ግን ምናለበት ሰዎቹ ሲያወሩ እንኳን ሙዚቃው ቢቀር።,negative
ምንድነው ከናተ ድምጽ የሙዚቃው ጩህት ኣበሳጨኝ ከምር,negative
በጣም ደስ የላል,positive
ያበሻ ፊልም ድሮ ቀረ ምንም አይል,positive
በጣም  አሪፍ ነው ትምህርት  ሰጭ ነው ቀጥሉበት,positive
በጣም አሳዛኝ ፊልም ነው ፍፃሜው ግን መታረቅ ነበረባቸው,neutral
ዋው በእንባ ነው የጨረስኩት,neutral
በጣም ያሣዝና የጓደኛ ምቀኛ ይሠውረን አሜን,neutral
የቆየ ቢሆንም አስተማሪ ነው.,positive
እፍፍፍ  ልብ  ይነካል  ወይ  ሤት  መሆን,neutral
ይሄንን እንኮን በፌት የሰርቁት ግዜ አይቼዋለሁ ይመችሽ ቁጥር ሱስትን ሳልጨርሰው አጠፎብኝ ከቻላችሁ ፕሊስ ደግማችው ፖስቱልን አንዴ መቼም የሌባ ተባባሪ ሆነናል,negative
እረ በፍጠራችሁ የስው ድካም የስማችሁ,negative
በሉ ገባ ገባ በሉ የተሰረቀፊልም ተደብቀን እንይ,negative
ዋዉ! በጣም የሚያስደስት ፊልም! እርስዎ የአማርኛ ፊልም  የቅርብ ጊዜ የኢትዮጲያኛ ፊልም ፊልሞች መመልከት አለባቸው,positive
በነካ እጃቹ ሶስት ማዕዘን ስረቁልን,negative
ጎበዝ ደራሲ ምርጥ ተዋናዮች,positive
ሰረቁትም አልሰረቁትም እኔን ተመችቶኛል፡፡,positive
ይህን ያክል ምን ያክል ገንዘብና ግዜ ፈጅቶባቸው ይሆን የሰረቃችሁ አይለፍላችሁ አሜን,negative
ግን ተለቆ ነው ተስረቆ አይተን ሳንጨርስ አንድይጠፋ,neutral
እኔ  ምለው ይህን ፊልም አይቸው አለሁ፡ባልሳሳት ተሰረቀ ምናምንእያሉ..,neutral
ምርጥ ነወ ላይክ ማድረግ አይርሱ,positive
በጣም ደስ የሚል ፊልም ነው ከፊልሙ የተማርኩት ነገር #እኔ_እሞታለው የሚለውን ሁላችንም ስልካችን እስክሪን እናድርግና መልካም ሰው እንሁን,positive
የኢትዮጵያ አርቲስቶች እግዚአብሔር ይርዳችሁ እንጂ ይህ ህዝብ እንደ ሆና መቼም አይረዳችሁም,positive
አምላኬ ከመርካቶ ሌባ ጠብቀኝ,negative
ክክክ ደስ ይላል ትምህርት አለው,positive
ፊልሙ ያምራል ትምህርት ይሰጣል ውይ ኮመንታችሁ ደግሞ እንዴት,positive
መጨረሻው ነበር የናፈቀኝ አየሁት ምርጥ ነው ይመቻችሁ,positive
እውነት በጣም ይገርማል,neutral
ክክክክ ሀርፍ ነው ያስቃል,positive
ምድን ነው እረሢስጠላ,negative
ይሄ ፊልም የሚገርም ነው ሁሌም እንደ አዲስ ፊልም ነው,positive
